Dte;Barris;SuperficieTotalDelsLocals(MilersMetresQuadrats);ValorCadastral(ValorsCadastralsTotals(MilionsDEuros));ValorDelSol(ValorsCadastralsTotals(MilionsDEuros));ValorDeLaConstruccioMesServeis(ValorsCadastralsTotals(MilionsDEuros));ValorCadastral(ValorsUnitaris(Euros/MetreQuadrat));ValorDelSol(ValorsUnitaris(Euros/MetreQuadrat));ValorDeLaConstruccioMesServeis(ValorsUnitaris(Euros/MetreQuadrat));;;;;;;;;;;
10;67. la Vila Olímpica del Poblenou;1.226.496;999,3;530,7;468,6;814,8;432,7;382,1;;;;;;;;;;;
10;68. el Poblenou;2.285.889;1.607,7;870,3;737,3;703,3;380,7;322,6;;;;;;;;;;;
10;69. Diagonal Mar i el Front Marítim del Poblenou;1.729.214;1.484,7;632,1;852,5;858,6;365,6;493,0;;;;;;;;;;;
10;70. el Besòs i el Maresme;1.055.138;720,0;364,1;355,8;682,4;345,0;337,2;;;;;;;;;;;
10;71. Provençals del Poblenou;1.463.801;1.101,8;634,8;462,2;752,7;433,7;315,8;;;;;;;;;;;
10;72. Sant Martí de Provençals;1.382.707;867,2;474,8;392,4;627,2;343,4;283,8;;;;;;;;;;;
10;73. la Verneda i la Pau;1.570.117;937,5;504,6;431,1;597,1;321,4;274,6;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
